loan_number,application_date,lock_date,note_rate,LTV,CLTV,DTI,FICO,UW_system,funded_date,action_date,file_status,loan_program
10033554,05/21/2026,06/09/26,4.03,0.7864, 73.5 ,22.785%,777,D.U.,20260815,NA,Closed/Funded,CONV30
10009428,08/05/2024,Sep 10 2024, 7.7 ,0.5081,0.5349, 57.4 ,694, DU ,10/04/24,NULL,N/A,Conv 30yr
10000200,07/06/23,Jul 14 2023,6.73,71.874%,83.581%,49.65%,786,Desktop Underwriter,None,2023-08-08,Declined,Conv 30
10012448,2023-02-11,20230212,6.670%,83.85%, 87.5 ,37.385%,755,LPA,NULL,04-04-2023,Withdrawn,30yr fixed
10039490,02/19/24,Mar 23 2024,4.74,0.7702,72.93, 41.6 ,666,D.U.,NA,04/14/24,Withdrawn,Conv 30yr
10042725,01-17-2024,20240221,6.09%,0.8427,84.27,110%,692,DESKTOP UNDERWRITER,2024-04-03,None, Funded ,30 Year VA
10010823,20230527,06/15/2023,0.0662,82.56, 87.2 ,38.34,656,D.U.,20230719,N/A,funded,FHA30
10049499,12-22-2024,20241226,0.0648, 92.0 ,91.691%, 28.0 ,805,LP,01/31/25,N/A,FUNDED,Non-Conforming 30
10004145,06/11/2024,2024-07-16,7.48,85.877%,85.635%,31.8,776, LPA ,10-05-2024,,Closed/Funded,FHA 30YR
10036959,08/17/2023,2023-09-14,6.64,64.73,54.13%,20.64,682,LP,20231204,None,Fund,JUMBO30
10043107,2024-07-17,08/09/2024,0.0587, 75.5 , 72.1 ,49.06,731,LPA,11/04/2024,,Funded,Conventional 15YR
10038696,05/01/23,05-04-2023,6.438%,74.21,80.12%,36.91,730, LPA ,Jun 02 2023,,Closed/Funded,30yr fixed
10006189,Feb 22 2025,04-03-2025,NA,84.88,91.76,0.2748,751,du,2025-05-02,NULL,Fund,30yr fixed
10001415,04/14/26,05/27/26,5.07%,76.51,72.90%,27.17,765,LP,06/24/26,, Funded ,CONV30
10018472,02-10-2023,02/21/23,7.69,64.15,75.69,30.82%,730,LP,03/23/2023,N/A,Fund,F.H.A.
10029283,12/10/2023,20240121,6.65,0.7701,79.09%,17.10%,694, LPA ,02-20-2024,,Fund,FHA
10015178,20250124,Mar 07 2025,5.038%,61.02%,74.657%, 30.2 ,774, LPA ,Apr 04 2025,NA, Funded ,Conv 30yr
10034305,07-24-2025,2025-07-31,5.14,0.6729,53.71%,36.18,692,LPA,NULL,Sep 12 2025,CANCELLED,FHA30
10012610,05/28/2024,07/08/2024,5.44%,66.351%,60.47,38.11,791,Desktop Underwriter,07/18/2024,NULL,None,Conv 15
10012145,06/04/2026,2026-07-19,,82.12,86.8,39.66,786,Manual,09/19/26,,Funded,30yr fixed
10006114,Mar 23 2026,Mar 20 2026,5.62%,79.86%,81.37,45.54,728,LP,NULL,May 03 2026,WD, conventional 30 
10015909,2023-08-04,2023-08-07,4.279%,98.35,,40.0,677,Desktop Underwriter,None,08-26-2023,W/D,CONV30
